            High   Low  Open  Close       Volume  Adj Close
Date                                                       
2019-01-02  8.02  7.48  7.53   7.90   47494400.0   7.157524
2019-01-03  7.99  7.78  7.97   7.78   39172400.0   7.048802
2019-01-04  8.12  7.85  7.91   8.08   43039800.0   7.320606
2019-01-07  8.37  8.03  8.11   8.29   40729400.0   7.510870
2019-01-08  8.54  8.35  8.42   8.37   45644000.0   7.583352
...          ...   ...   ...    ...          ...        ...
2020-02-03  9.14  8.85  8.85   8.98   71432700.0   8.980000
2020-02-04  9.24  9.07  9.08   9.18   86196400.0   9.180000
2020-02-05  8.48  8.26  8.41   8.31  145792500.0   8.310000
2020-02-06  8.38  8.25  8.37   8.25   68823400.0   8.250000
2020-02-07  8.21  8.02  8.21   8.11   98222600.0   8.110000

[278 rows x 6 columns]
